update,step,train_return,cost_per_order,success_rate,ontime_rate,depletion_events,n_delivered,eval_return,policy_loss,value_loss,entropy
5,10551,1452.9594615384628,2.8231468920277356,0.9067756817371864,0.9344634401248493,2.2,121.8,1458.8532000000007,-0.06383936107158661,13.171207427978516,0.4115161895751953
10,21128,1325.259214285715,2.462503207958412,0.9184966821969589,0.9434292222360934,1.8,123.0,1526.6126000000004,-0.0660850778222084,12.3236722946167,0.3838393986225128
15,31829,1286.378071428572,2.6126430989493246,0.913793364149746,0.9379794187446787,1.8,122.4,1506.15,-0.061680953949689865,11.851922035217285,0.4045774042606354
20,42392,1479.669153846155,2.207516231294752,0.9216852165428773,0.9436615853261812,1.4,124.0,1564.0924000000002,-0.03187781572341919,13.131346702575684,0.3876378536224365
25,53020,1428.1284285714294,2.207516231294752,0.9216852165428773,0.9436615853261812,1.4,124.0,1564.0924000000002,-0.07584928721189499,12.666969299316406,0.3618259131908417
30,63798,1466.0780769230778,2.32928815235212,0.9201710553228336,0.9470382178212258,1.6,123.6,1547.0846000000001,-0.05220167711377144,13.311322212219238,0.3769150376319885
35,74498,1462.1383076923087,2.6262252674258226,0.9163586483755056,0.9436873300044656,2.2,122.8,1500.5552000000007,-0.06911488622426987,12.243159294128418,0.39927437901496887
40,85034,1456.2633846153851,2.5849177719839522,0.9190838652662585,0.9389703362249717,2.2,123.0,1506.1058000000007,-0.04695286601781845,12.738144874572754,0.3694000840187073
45,95655,1329.048214285715,2.29753335199218,0.9271093096719747,0.9424874073891016,1.8,124.4,1566.4910000000007,-0.06715980917215347,11.968629837036133,0.37658536434173584
50,106222,1490.7877692307702,2.524416137698563,0.9225915252980753,0.9375200437426807,2.2,123.0,1513.897400000001,-0.05897417664527893,12.75582218170166,0.39424246549606323
55,116821,1408.4946923076934,2.495063196522093,0.9240443098017073,0.9375200437426807,2.2,123.0,1516.8914000000009,-0.05236050859093666,11.87112045288086,0.39784836769104004
60,127437,1592.1407692307696,2.2797959608653837,0.9259390890800786,0.9449169142974461,1.8,123.6,1552.646000000001,-0.045360080897808075,13.158194541931152,0.3606908321380615
65,138047,1429.1141428571434,2.2783353645172872,0.9260164884608836,0.9436057254862572,1.8,123.8,1554.613600000001,-0.06322819739580154,12.343879699707031,0.3791119456291199
70,148647,1539.07176923077,2.2783353645172872,0.9260164884608836,0.9436057254862572,1.8,123.8,1554.613600000001,-0.044541217386722565,12.911478996276855,0.3838571012020111
75,159220,1456.2566153846162,2.3948912765790817,0.9209317426981716,0.9452100035611235,1.8,123.2,1537.837400000001,-0.031148232519626617,12.020549774169922,0.39410600066185
80,169826,1501.6426923076933,2.4054167970903166,0.9206565000500477,0.9450863177231519,1.8,123.0,1534.843400000001,-0.06783849000930786,12.45447826385498,0.3993881344795227
85,180541,1531.9576153846165,1.6545062328646278,0.9482170997417949,0.9489278543377978,1.4,127.2,1666.1932000000015,-0.040330685675144196,12.892963409423828,0.369129478931427
87,184735,1410.4092307692315,1.6545062328646278,0.9482170997417949,0.9489278543377978,1.4,127.2,1666.1932000000015,-0.03142700716853142,12.333386421203613,0.4110400974750519
