step,return,success_rate,mean_steps
5000,-2656.244759771087,0.0,133.4
10000,-2656.244759771087,0.0,133.4
15000,-2656.244759771087,0.0,133.4
20000,-1831.4892669793037,0.0,133.8
25000,-61.056433075008634,0.0,250.0
30000,-61.056874328596976,0.0,250.0
35000,-103.34065592657946,0.0,250.0
40000,-272.70199323208374,0.0,250.0
45000,-229.7454878521517,0.0,247.5
50000,-620.3606913833535,0.1,179.1
55000,-529.5695578666421,0.1,177.9
60000,-505.43642492506723,0.1,166.2
65000,-671.713793322429,0.0,163.9
70000,-569.544077191695,0.1,165.2
75000,-587.4138797025901,0.0,188.4
80000,-660.2262771797253,0.0,197.1
85000,-1081.1734411665775,0.0,207.6
90000,-1702.2681368921608,0.0,213.2
95000,-3061.1420007527786,0.0,144.6
100000,-1300.2854549868505,0.0,192.8
105000,-1630.7650263462351,0.0,204.6
110000,-1193.695004680711,0.0,238.2
115000,-416.360241265031,0.0,242.5
120000,-384.3205082450087,0.0,247.9
125000,-243.761737368424,0.0,248.2
130000,-235.45651935090876,0.0,248.1
135000,-310.8129162865899,0.0,250.0
140000,-335.77895034312843,0.0,249.9
145000,-333.4242481084308,0.0,249.4
150000,-175.30723620321524,0.0,249.5
155000,-310.05379814030624,0.0,249.3
160000,-227.36361248394707,0.0,248.4
165000,-82.04909489478534,0.0,247.9
170000,-87.08869728610719,0.0,242.2
175000,-157.92893681756328,0.0,240.1
180000,-78.94578601698748,0.0,239.8
185000,-191.64055927654618,0.0,241.6
190000,-353.1530224255837,0.2,197.6
195000,-644.1083899837523,0.2,198.0
200000,-1178.9434720845013,0.0,242.5
205000,-717.3480578807321,0.1,220.9
210000,-901.9137349720511,0.1,219.1
215000,-704.9693452591032,0.1,221.7
220000,-653.2923350113956,0.1,210.2
225000,-377.4695720821768,0.1,208.0
230000,-106.28313981578779,0.0,229.0
235000,-198.72363485044593,0.1,206.0
240000,-330.17899116981664,0.1,203.0
245000,-427.5159037347553,0.1,213.0
250000,-582.2552096477018,0.1,204.7
255000,-302.7929510929313,0.2,184.0
260000,-575.0424846332653,0.1,206.0
265000,-755.2747162948251,0.1,202.7
270000,-490.2002559621211,0.1,202.6
275000,-299.1978266936186,0.1,206.5
280000,-286.0638998889448,0.1,203.9
285000,-153.36388719902993,0.2,182.5
290000,-492.1467139306425,0.3,177.3
295000,-152.60387665330967,0.4,145.1
300000,-452.0188787257959,0.2,189.2
305000,-342.26081365815725,0.4,136.8
310000,-160.04964667870905,0.4,147.9
315000,-376.84033164459885,0.4,143.2
320000,-351.6959016746711,0.4,141.3
325000,-318.3150121214594,0.3,157.8
330000,-224.75888255231015,0.4,154.1
335000,-259.54834031447297,0.6,113.5
340000,-588.0141741146747,0.5,136.1
345000,-475.49614535128364,0.7,105.2
350000,-741.2655624867328,0.3,158.3
355000,-132.30778006746596,0.7,89.5
360000,-418.8556984188369,0.6,111.9
365000,-82.11032270674153,0.6,104.2
370000,-228.65479796853197,0.6,108.0
375000,-116.0482382961886,0.5,130.5
380000,-232.36144981078195,0.8,80.4
385000,-314.04941775363386,0.5,119.0
390000,-414.56514541720753,0.6,103.8
395000,-115.20460432097737,0.6,100.6
400000,-287.9538127265093,0.5,127.8
405000,-184.1316683101655,0.7,96.7
410000,-654.4537036188356,0.7,93.8
415000,-283.79075910029803,0.6,117.2
420000,-527.5563967538892,0.8,87.2
425000,-351.9480935340308,0.5,118.1
430000,-456.55811681179796,0.4,146.9
435000,-793.1868785328419,0.3,168.0
440000,-924.955660336532,0.3,200.2
445000,-521.0138691614086,0.4,184.3
450000,-252.05975303263426,0.4,171.0
455000,-288.77880982407333,0.4,164.4
460000,-309.7658161237383,0.7,95.7
465000,-487.41866243733296,0.8,82.9
470000,-463.69527721440926,0.6,114.8
475000,-450.09278235860694,0.8,90.4
480000,-399.9999286649747,0.8,75.8
485000,-457.25970064249293,0.8,70.0
490000,-597.4758711446304,0.8,78.4
495000,-312.1867488658184,0.8,69.8
500000,-5.189772235232252,0.9,58.4
