update,step,train_return,cost_per_order,success_rate,ontime_rate,depletion_events,n_delivered,eval_return,policy_loss,value_loss,entropy
100,3200,-257.63668750000005,13.326733546533182,1.0,1.0,8.0,30.666666666666668,52.000000000000036,-0.08210712671279907,7.938838958740234,1.9261832237243652
200,6400,-208.01379999999997,14.245846677299307,0.9056603773584905,0.9649122807017544,8.0,33.666666666666664,13.745333333333264,0.3206438422203064,24.662883758544922,2.382955551147461
300,9600,-193.18238000000002,30.02029334369332,0.33666521802115024,0.7518259518259517,0.0,42.666666666666664,-696.9863333333333,-0.423927366733551,29.487934112548828,2.523577928543091
400,12800,-246.98090000000005,46.06344993279569,0.24790473180303688,0.8508064516129034,0.0,31.333333333333332,-1001.3800000000014,0.06008642911911011,6.108882904052734,1.6452350616455078
500,16000,-208.30444000000003,72.49200793650797,0.17467306704594843,0.7242063492063492,0.0,22.0,-1286.4170000000038,-0.24099215865135193,4.650909423828125,2.1377573013305664
600,19200,-196.16540000000003,79.5452348484849,0.1614087419172165,0.8177033492822967,0.0,20.333333333333332,-1322.9930000000043,0.014392063021659851,39.220035552978516,2.7473716735839844
700,22400,-273.0870400000001,86.36571428571433,0.1509304255066967,0.8227513227513228,0.0,19.0,-1360.780666666671,-0.22487753629684448,7.047432899475098,2.510199546813965
800,25600,-270.1180800000001,197.64387186147187,0.0739750832971172,0.5913419913419914,0.0,9.333333333333334,-1650.293000000006,0.08148890733718872,2.101536273956299,1.769948959350586
900,28800,-249.23442000000006,18.666413675213647,0.45434001027221366,0.926068376068376,0.0,57.333333333333336,-224.95999999999893,0.12753504514694214,2.4880073070526123,1.7911016941070557
1000,32000,-198.47170000000006,1.5368110091743297,0.9274968534602568,0.8741284403669725,0.0,119.66666666666667,1534.4120000000046,0.12230189889669418,10.01201343536377,1.6289693117141724
1100,35200,-194.39834000000008,1598.3483333333331,0.00817497003937682,0.3333333333333333,0.0,1.0,-1880.626333333341,0.27687275409698486,3.518932342529297,1.7942982912063599
1200,38400,-171.90628000000018,39.660650342359155,0.2770363346634533,0.9142234671646436,0.0,35.0,-881.1966666666667,-0.073208749294281,10.843539237976074,2.359316825866699
1250,40000,-159.65238000000016,33.76575591319591,0.31073578022730564,0.9136094478811737,0.0,39.333333333333336,-754.2329999999982,0.17693431675434113,11.639352798461914,1.3551846742630005
