seed,method,step,loss,mean_q,max_q
1,naive,10000,317.41412353515625,153.56198120117188,409.7576599121094
1,naive,12000,406.2648620605469,210.7273712158203,542.6907958984375
1,naive,14000,523.1229248046875,271.6169738769531,688.766845703125
1,naive,16000,836.8821411132812,338.13702392578125,838.0413818359375
1,naive,18000,869.8081665039062,408.2943420410156,985.1016845703125
1,naive,20000,1117.3507080078125,507.30718994140625,1201.537109375
1,naive,22000,1196.4183349609375,593.0347290039062,1335.40771484375
1,naive,24000,1518.84912109375,713.6760864257812,1580.0723876953125
1,naive,26000,1902.8447265625,841.9987182617188,1796.354736328125
1,naive,28000,2456.425537109375,1001.8816528320312,2090.17626953125
1,naive,30000,2777.542724609375,1196.60302734375,2398.95166015625
1,naive,32000,4238.7548828125,1400.5086669921875,2734.283203125
1,naive,34000,4408.7626953125,1637.5732421875,3061.08837890625
1,naive,36000,5649.90185546875,1938.862548828125,3578.2138671875
1,naive,38000,5958.1826171875,2185.3896484375,3829.704833984375
1,naive,40000,6449.38134765625,2459.072509765625,4170.232421875
1,cql,2000,429.88006591796875,8.929980278015137,52.64198684692383
1,cql,4000,305.0465087890625,19.090383529663086,85.93548583984375
1,cql,6000,342.8331604003906,30.510639190673828,118.3461685180664
1,cql,8000,389.8179931640625,41.918922424316406,145.08868408203125
1,cql,10000,318.0038757324219,55.1395263671875,174.24636840820312
1,cql,12000,403.7809753417969,71.6695556640625,205.69772338867188
1,cql,14000,474.249755859375,83.65650939941406,234.44728088378906
1,cql,16000,467.4019775390625,98.39408874511719,261.8802490234375
1,cql,18000,381.3218994140625,116.26069641113281,291.22265625
1,cql,20000,461.35870361328125,135.6544647216797,318.05810546875
1,cql,22000,274.8478088378906,152.20858764648438,343.0059814453125
1,cql,24000,459.6001892089844,175.57974243164062,353.1195068359375
1,cql,26000,465.3191223144531,198.93704223632812,398.53076171875
1,cql,28000,559.6400146484375,223.59829711914062,445.1029052734375
1,cql,30000,440.4102478027344,252.89378356933594,495.81390380859375
1,cql,32000,762.5235595703125,283.51617431640625,540.5306396484375
1,cql,34000,489.6446838378906,315.5168151855469,602.5008544921875
1,cql,36000,533.0317993164062,350.4895935058594,666.649658203125
1,cql,38000,781.5715942382812,391.1249084472656,724.4609375
1,cql,40000,764.6989135742188,434.1724853515625,791.7379760742188
2,bc,750,2.1870884895324707,5.786891937255859,10.331897735595703
2,bc,1500,2.0319347381591797,5.196314811706543,9.59726619720459
2,bc,2250,2.042875051498413,5.020983695983887,9.007515907287598
2,bc,3000,2.1046125888824463,4.724839687347412,9.345246315002441
2,bc,3750,2.063098669052124,4.422154426574707,8.59751033782959
