update,step,train_return,cost_per_order,success_rate,ontime_rate,depletion_events,n_delivered,eval_return,policy_loss,value_loss,entropy
100,3200,-168.78036000000003,14.143943948412696,1.0,1.0,8.0,29.0,27.006999999999948,-0.192705899477005,2.3305344581604004,2.1393496990203857
200,6400,-147.50910000000002,55.46477086974943,0.23263666653497164,1.0,3.0,29.333333333333332,-1183.3476666666677,-0.10367552191019058,3.760915756225586,2.090947151184082
300,9600,-189.38518000000005,64.96815238927739,0.19001883239171377,0.9848484848484849,0.0,24.0,-1195.2580000000025,-0.5521408319473267,2.286271095275879,1.6225392818450928
400,12800,-225.24016000000012,49.52009482758618,0.2379867778172863,0.9885057471264368,0.3333333333333333,30.0,-1032.328000000002,-0.422342985868454,1.3093726634979248,1.2514234781265259
500,16000,-110.62040000000006,55.258155145929315,0.2300725639708691,1.0,2.3333333333333335,29.0,-1160.1686666666662,-0.20777401328086853,2.9673593044281006,1.3543174266815186
600,19200,-115.2899200000001,61.7384780167264,0.23225936022546192,1.0,6.666666666666667,29.333333333333332,-1365.6936666666595,0.3136979341506958,1.1754511594772339,0.9581321477890015
700,22400,-131.0963600000001,16.281977777777772,0.8679151446553823,1.0,8.0,29.333333333333332,-38.761333333333376,-0.09057484567165375,1.9126173257827759,1.7796224355697632
800,25600,-124.5652400000001,13.923642857142854,1.0,1.0,8.0,29.333333333333332,31.74533333333315,-0.13649646937847137,2.337261438369751,1.141188383102417
900,28800,-134.18370000000007,13.923554761904759,1.0,1.0,8.0,29.333333333333332,31.754666666666537,0.11192250996828079,1.013047695159912,0.8904992341995239
1000,32000,-103.97634000000009,13.923523015873014,1.0,1.0,8.0,29.333333333333332,31.66899999999993,-0.46502116322517395,2.596940040588379,1.2646299600601196
1100,35200,-70.61870000000005,14.07991064586754,1.0,1.0,8.0,29.0,26.50333333333343,0.07925962656736374,3.7849793434143066,1.0296639204025269
1200,38400,-70.8663600000001,14.281048600443759,1.0,1.0,8.0,28.666666666666668,21.71533333333345,-0.040031254291534424,2.113626003265381,1.2595465183258057
1250,40000,-69.9057800000001,14.42749603174603,1.0,1.0,8.0,28.333333333333332,16.64366666666672,0.3422302007675171,1.1035122871398926,1.0850858688354492
