step,eps,ret,cost,deliv
6000,0.62,-1214.1233333333387,67.92039849498353,23.0
12000,0.24,-1283.8913333333305,64.76240528360519,26.0
18000,0.05,-984.6449999999944,51.457896520146306,26.666666666666668
24000,0.05,-925.4836666666621,45.84497428533688,31.333333333333332
30000,0.05,-986.1326666666611,55.332321590038084,26.0
