update,step,train_return,cost_per_order,success_rate,ontime_rate,depletion_events,n_delivered,eval_return,policy_loss,value_loss,entropy
5,10647,1271.7915000000007,3.5645563141615755,0.8877750335991129,0.9350931934997794,2.8,117.8,1335.6506000000004,-0.09475524723529816,12.05802059173584,0.41132357716560364
10,21397,1303.9884285714293,2.6823387920967137,0.9152727647938915,0.9445190625815769,2.0,122.6,1500.8916000000004,-0.09264402091503143,12.56667709350586,0.3855627179145813
15,31970,1327.276076923078,2.9601947915360176,0.9086525557346581,0.9443228192398332,2.4,121.2,1448.5426000000002,-0.07782380282878876,11.968257904052734,0.38534241914749146
20,42774,1376.4649285714297,2.4587448019647056,0.9242126103994852,0.9479963499728008,2.2,122.8,1508.3580000000006,-0.05169876664876938,12.263374328613281,0.3792138993740082
25,53370,1276.960214285715,2.3053810145892903,0.9286570548439297,0.9450063167502094,2.0,123.4,1533.8760000000007,-0.07037632912397385,11.553833961486816,0.3797958493232727
30,64094,1355.7068571428576,2.7038759016853837,0.920641546798571,0.9360680713039458,2.6,121.8,1459.7600000000007,-0.059806279838085175,11.898185729980469,0.38895919919013977
35,74919,1554.5400769230775,2.4658508198150626,0.9201434075415943,0.9512038081333802,2.0,122.8,1520.480000000001,-0.04604867100715637,13.02890396118164,0.36456677317619324
40,85617,1309.7302857142863,1.858005278663279,0.9457464961591932,0.9495262095445695,1.8,126.2,1623.5102000000009,-0.058259449899196625,11.441362380981445,0.37722453474998474
45,96122,1364.2025384615395,1.8899115634592385,0.9442542224285088,0.9553805400272648,1.8,125.8,1618.6978000000008,-0.04549630731344223,11.622884750366211,0.3774111866950989
50,106920,1254.6680000000008,1.8899115634592385,0.9442542224285088,0.9553805400272648,1.8,125.8,1618.6978000000008,-0.04402163624763489,11.30048656463623,0.3679143488407135
55,117430,1323.0538461538467,1.8899115634592385,0.9442542224285088,0.9553805400272648,1.8,125.8,1618.6978000000008,-0.07044859975576401,11.81559944152832,0.3709048926830292
60,127939,1508.67776923077,1.8899115634592385,0.9442542224285088,0.9553805400272648,1.8,125.8,1618.6978000000008,-0.07488077133893967,12.677988052368164,0.33330562710762024
65,138527,1450.9493846153853,1.9167613817731912,0.9427727409470273,0.9537817028179625,1.8,125.6,1611.603600000001,-0.05557410791516304,12.332517623901367,0.3554287552833557
70,149088,1519.2362307692315,2.073085340106524,0.9383519297698821,0.948762763424023,2.0,124.8,1577.7512000000013,-0.05587051436305046,12.604793548583984,0.3714955449104309
75,159768,1413.5240714285717,2.1002322151065242,0.9370173452635742,0.950325263424023,2.0,124.8,1575.2764000000013,-0.052542440593242645,11.947237968444824,0.35596728324890137
80,170373,1340.154500000001,2.072967170922836,0.9386840119302408,0.9521360703195757,2.0,125.0,1582.1894000000011,-0.04562253877520561,11.733821868896484,0.35337015986442566
85,180946,1436.9440000000009,2.072967170922836,0.9386840119302408,0.9521360703195757,2.0,125.0,1582.1894000000011,-0.06947241723537445,12.231795310974121,0.3831002116203308
87,185095,1412.0930769230777,2.072967170922836,0.9386840119302408,0.9521360703195757,2.0,125.0,1582.1894000000011,-0.05605432391166687,11.931058883666992,0.3544802963733673
