step,eps,ret,cost,deliv
6000,0.62,-1259.7836666666715,79.68130228758194,21.0
12000,0.24,-1407.441333333338,114.15672358197396,15.666666666666666
18000,0.05,-1334.8426666666696,90.86965866013088,18.666666666666668
24000,0.05,-24.886999999999915,15.751136924803589,29.0
30000,0.05,-882.7516666666612,44.173363756613576,30.333333333333332
