step,eps,ret,cost,deliv
6000,0.62,-1478.8266666666739,137.54819417989478,12.666666666666666
12000,0.24,-1303.8436666666687,95.79139814814833,20.333333333333332
18000,0.05,-1390.7730000000056,104.87752152292194,16.666666666666668
24000,0.05,-1051.0189999999984,48.60305383661166,35.0
30000,0.05,-191.72333333333077,17.901728592545634,71.66666666666667
